"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"STEAP1",4.19308779431701,-0.0971197284339311,1.12965775276795,-0.0859727011972988,0.93148811814747,1
"DPY19L2P4",7.96711037118431,-0.900586500811684,0.766977601772123,-1.17420182640387,0.24031419466181,1
"ZNF804B",5.64721570443165,-0.341562093915992,0.822636705997511,-0.415204052318358,0.677992532559933,1
"STEAP4",1.37922266760506,1.33599827567142,1.97526991512403,0.676362387460112,0.498810591506076,1
"SRI",620.480735059654,-0.12279941344465,0.161877073971234,-0.758596695826564,0.448093849851702,1
"ADAM22",68.9698348989009,0.227809242388097,0.315902064547914,0.721138821027062,0.470824108118766,1
"DBF4",140.221914508079,-0.0999571177190141,0.260364766949377,-0.383911843719042,0.701043787780994,1
"SLC25A40",350.224473555981,0.0153609099003791,0.16779134716284,0.0915476880072455,0.927057415742653,1
"RUNDC3B",25.8340928567446,-0.044725356435664,0.380664292832296,-0.11749291246334,0.906469460179711,1
"ABCB4",11.9851791355186,-0.371077135572977,0.690220732662742,-0.537620963863881,0.590838754172223,1
"CROT",103.157608860182,-0.0729756305759302,0.348585590964818,-0.209347811462739,0.834176730417,1
"TP53TG1",446.751387604925,-0.273451574729789,0.215697333563588,-1.26775593472589,0.204885122904663,1
"LOC105375384",4.46280346690209,-0.0332916109204479,1.30480291729696,-0.0255146662220952,0.979644450342316,1
"TMEM243",278.291314810304,-0.106684894613942,0.244984474623208,-0.435476145082361,0.663216850552534,1
"DMTF1",100.352281606705,0.332974249999393,0.284334252207485,1.17106626238057,0.241572143602304,1
"DMTF1-AS1",31.7342077674379,0.157642238109608,0.383082718933541,0.411509656578782,0.680698861921639,1
"LOC124901689",1.20482559014801,-3.55847493598414,3.08626040546312,-1.15300540734837,0.248908165050954,1
"ELAPOR2",196.764865117124,-0.0104244185148981,0.174088739439933,-0.0598799126723235,0.95225127854747,1
"SEMA3D",12.8635557255041,0.120133327201175,0.538366706002868,0.223144050071578,0.823423395549403,1
"SEMA3E",11.4977673293469,-0.856892263885808,0.710176762482111,-1.20659011834028,0.227590034191491,1
"PCLO",14.9240940723456,0.549558283679111,0.543985369898974,1.01024460231563,0.312378115011789,1
"LOC124901686",4.35453859389329,-0.00291348148563401,0.973374802220256,-0.00299317537190032,0.997611795149013,1
"SEMA3C",2658.44423581473,0.137037053951171,0.218826371504459,0.626236467794185,0.531159850854058,1
"CD36",17.6747609917406,0.573379507875236,0.552951973136539,1.03694269255036,0.299762565727846,1
"GNAI1",15.8746742385213,0.217523998475264,0.656109421370871,0.331536160570246,0.740239531724822,1
"MAGI2",25.0774298933449,-0.108106797190408,0.420794702070054,-0.256911022545171,0.797247461353118,1
"PHTF2",205.343858189765,0.101789801168804,0.22186272034152,0.458796326900327,0.64638043270073,1
"TMEM60",292.724320885326,-0.283589970276794,0.212968540462154,-1.33160498570065,0.182990025757706,1
"RSBN1L",231.619872727538,0.023843545817622,0.225061019081075,0.10594258354901,0.915627907377052,1
"APTR",133.010512656756,-0.150001645235186,0.200074872507184,-0.749727556266719,0.453418807529419,1
"LOC105375363",1.76843841662353,2.98534053172766,1.82111211910747,1.63929529676119,0.10115177507942,1
"PTPN12",491.486692470843,0.131701654394027,0.172674401229768,0.762716728455765,0.44563235183255,1
"LOC124901681",10.9143463163717,0.413604168269998,0.636112084029308,0.650206431624622,0.515558887140495,1
"GSAP",40.4272051508462,0.0118136475772607,0.347964106711126,0.033950764890438,0.97291641196938,1
"CCDC146",11.5554022603024,0.724184268068328,0.677777140154376,1.06846959740097,0.285308737388943,1
"RPL7AP43",2.6146473255261,0.560391094462616,1.15250060499719,0.486239306107768,0.626797506014666,1
"FAM185BP",23.687095632147,0.000883283168942915,0.448265523226784,0.00197044636086378,0.998427812288155,1
"SPDYE18",13.4122174385795,-0.685800930391054,0.643718349446719,-1.06537421370776,0.286706621014343,1
"PMS2P9",10.7293614764153,0.0349048144368379,0.80526249938724,0.0433458834397461,0.965425815875529,1
"SPDYE17",1.23810018175792,-0.111032631257731,2.10055871164375,-0.0528586183486606,0.957844556048379,1
"PMS2P11",2.53654173146853,-1.05751239573536,1.4522461496153,-0.728190875916936,0.466496750352285,1
"DTX2P1",56.6267597834005,-0.0957681725314641,0.369929314260494,-0.258882356276385,0.795726011882454,1
"LOC124901675",10.3304572269276,-0.278800637125372,0.678319298943092,-0.411016813998628,0.681060205673911,1
"FDPSP2",8.19442285458992,-0.089815779286341,0.842290925788484,-0.106632728118569,0.915080353319765,1
"ZP3",274.392606776737,-0.170001918664364,0.210228273523075,-0.808653925637192,0.418714237230102,1
"SSC4D",25.9755119783634,0.0275947347162451,0.421455051906582,0.0654749174115053,0.947795876479634,1
"YWHAG",3138.40483122651,0.0362296408121768,0.176500969782922,0.205265958916461,0.8373643386057,1
"HSPB1",81866.9668418336,-0.0469327468298167,0.168896211567773,-0.277879215846022,0.781105079154947,1
"SRRM3",601.363449476276,-0.11733358449748,0.185559369292957,-0.632323686723878,0.527175388751375,1
"GTF2IP7",3.2813679635896,-0.0733618703719663,1.34738386655273,-0.0544476390085194,0.956578524677917,1
"MDH2",4415.99675163135,-0.0830435411283691,0.138339525083537,-0.600287886475127,0.548314390359456,1
"STYXL1",524.140890190987,-0.044921333090358,0.166215783543917,-0.270259130225674,0.786960905135496,1
"TMEM120A",658.539635734149,-0.136138728213891,0.20957987988115,-0.64957918809331,0.515964080011379,1
