"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00392474556623794,8,232,5.07594936708861,"GO:0042594 Response to starvation ","https://amigo.geneontology.org/amigo/term/GO:0042594"," SESN2  GABARAPL1  CDKN1A  ATF3  DDIT3  GAS6  UPP1  AKR1C3"
0.00392474556623794,5,78,9.43605972086985,"GO:0045661 Regulation of myoblast differentiation ","https://amigo.geneontology.org/amigo/term/GO:0045661"," IGFBP3  ID3  SOX9  DDIT3  TNF"
0.00392474556623794,3,17,25.9769173492182,"GO:0051412 Response to corticosterone ","https://amigo.geneontology.org/amigo/term/GO:0051412"," CDKN1A  FOSB  FOSL1"
0.00412863364439431,6,124,7.12270314414047,"GO:0070555 Response to interleukin-1 ","https://amigo.geneontology.org/amigo/term/GO:0070555"," IRAK2  EDN1  KLF2  SOX9  CCL5  ADAMTS7"
0.004207840515654,18,1023,2.59007387059653,"GO:0006974 Dna damage response ","https://amigo.geneontology.org/amigo/term/GO:0006974"," BAX  CDIP1  CDKN1A  PHLDA3  AEN  BTG2  SPATA18  PARP10  RPS27L  BBC3  GADD45A  SESN2  DDIT4  NUPR1  NYNRIN  TNF  SNAI1  DDIT3"
0.00421347479850688,14,674,3.05761935168839,"GO:0043408 Regulation of mapk cascade ","https://amigo.geneontology.org/amigo/term/GO:0043408"," FGF22  EDA2R  EDN1  GADD45A  LIF  APOE  GDF15  PSCA  GAS6  TNF  ACTA2  IGFBP3  ATF3  ICAM1"
0.00422388948596566,32,2450,1.92264531128907,"GO:0031327 Negative regulation of cellular biosynthetic process ","https://amigo.geneontology.org/amigo/term/GO:0031327"," APOBEC3H  FHL2  ID3  SOX9  DDIT3  PARP10  NANOS1  EDN1  ZNF423  SNAI1  KLF2  LOXL2  BTG2  ATF3  GAS6  AKR1C3  TNF  HES2  LMCD1  RELB  RASD1  CDKN1A  APOE  SESN2  ATOH8  MAF  TSKU  H1-2  ZNF488  OAS1  GADD45A  FOSB"
0.00442900159740099,14,678,3.03958029946604,"GO:0048589 Developmental growth ","https://amigo.geneontology.org/amigo/term/GO:0048589"," EDN1  CDKN1A  SOX9  EDN2  KLF2  GDF15  CHST11  CSF1  SELENOM  STRA6  TSKU  L1CAM  KLK6  APOE"
0.00444963937914274,7,179,5.75652358390496,"GO:0002687 Positive regulation of leukocyte migration ","https://amigo.geneontology.org/amigo/term/GO:0002687"," EDN2  GAS6  CSF1  CCL5  EDN1  ICAM1  TNF"
0.00444963937914274,14,679,3.03510374526948,"GO:0071396 Cellular response to lipid ","https://amigo.geneontology.org/amigo/term/GO:0071396"," IRAK2  SSTR5  SLC5A5  ADCY5  AKR1C1  AKR1C3  CYP24A1  EDN1  ID3  SOX9  BTG2  DDIT4  PAQR7  TNF"
