"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0275178965181227,62,1277,1.40974525773871,"GO:0046914 Transition metal ion binding ","https://amigo.geneontology.org/amigo/term/GO:0046914"," LNPEP  ENPEP  SEC24B  ATP7A  POLR3B  KDM5A  POLA1  BIRC2  IDE  TRIM24  CLIP1  EPRS1  SUV39H2  USP16  TET2  BLM  PRIM1  ANKIB1  DBF4  BRCA1  UBR7  MATR3  MRE11  PIAS1  ZZZ3  ZFR  HLTF  ZNF638  MIB1  TRPS1  CPD  NEIL3  PIKFYVE  TTF2  NR5A2  RC3H1  SETDB2  KAT7  MARCHF7  ZGRF1  UBR3  THRB  PLOD2  TRIP12  FBXO43  MORC3  ZMAT1  RRM2  PHC3  NR1D2  TRAF6  ERI2  ZMYM1  TRIM59  ENPP1  ZNF195  BAZ1B  ZNF92  ZNF675  ZNF84  EEA1  ZNF146"
0.0293949168779482,5,32,4.53690699126092,"GO:0034061 Dna polymerase activity ","https://amigo.geneontology.org/amigo/term/GO:0034061"," POLQ  POLD3  POLI  POLA1  POLE2"
0.0293949168779482,7,60,3.38755722014149,"GO:0070063 Rna polymerase binding ","https://amigo.geneontology.org/amigo/term/GO:0070063"," RRN3  TCERG1  LEO1  BRCA1  PKN2  NEDD4  CCNT1"
0.0311158371253725,6,46,3.78733105357434,"GO:0043014 Alpha-tubulin binding ","https://amigo.geneontology.org/amigo/term/GO:0043014"," TTLL7  EML4  TAOK1  RACGAP1  OFD1  HSPH1"
0.0341364556373444,4,21,5.53070566553713,"GO:0010485 Histone h4 acetyltransferase activity ","https://amigo.geneontology.org/amigo/term/GO:0010485"," HAT1  KAT7  ATF2  BRCA2"
0.0353785209602961,3,11,7.91896493020089,"GO:0036312 Phosphatidylinositol 3-kinase regulatory subunit binding ","https://amigo.geneontology.org/amigo/term/GO:0036312"," PTPN13  PIK3R1  CD2AP"
0.0357113063363415,13,168,2.24684917662446,"GO:0019903 Protein phosphatase binding ","https://amigo.geneontology.org/amigo/term/GO:0019903"," STRN  CTTNBP2NL  ATP2B4  SHOC2  HSP90B1  HSP90AA1  CDC27  MET  NEK2  AP3B1  IQGAP1  PIK3R1  MASTL"
0.0372566196763635,12,150,2.32289637952559,"GO:0019209 Kinase activator activity ","https://amigo.geneontology.org/amigo/term/GO:0019209"," DBF4  CCNT1  NBN  IL6ST  IQGAP1  TOPBP1  DDX3X  PIK3CA  PIK3R1  WNK1  MALT1  TAOK1"
0.0390078104034698,26,443,1.70415648610794,"GO:0061630 Ubiquitin protein ligase activity ","https://amigo.geneontology.org/amigo/term/GO:0061630"," HLTF  ANKIB1  RC3H2  CCAR1  NEDD4  HACE1  HECTD1  MIB1  BIRC2  UBE4A  RC3H1  UBR3  TRIP12  RNF20  MSL2  TRAF6  TOPORS  TRIM59  TRIM24  MARCHF7  PJA2  UBR7  RAD18  BARD1  DZIP3  UBE2C"
0.0396370040886583,9,97,2.69408085254257,"GO:0003724 Rna helicase activity ","https://amigo.geneontology.org/amigo/term/GO:0003724"," MTREX  DHX36  DDX3X  AQR  DHX15  BRIP1  DDX46  DHX57  RAD54B"
