"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC124901135",2.84156844145654,-0.237185020795406,1.60871981325501,-0.147437122885618,0.882787005854817,NA
"LOC105377730",5.61067318629824,-0.464813144137627,0.89038105224691,-0.522038449677982,0.60164355991342,NA
"LOC401218",4.55974931296467,0.909242153283565,0.942243791808256,0.964975477884171,0.334557094379717,NA
"LOC107986476",1.73408376912032,0.570966488435761,1.72366369955029,0.331251675477489,0.740454389980341,NA
"LOC100419059",1.59235340276162,-1.67122443945857,2.30836727968193,-0.723985500127541,0.469074636981448,NA
"LOC107986473",2.64809416037721,0.0613584770252792,1.36450911461468,0.0449674365440981,0.964133264560106,NA
"KCNMB1",1.37293962899041,1.09546320987775,1.73556182198312,0.631186510328991,0.527918581168961,NA
"FOXI1",5.93254458107901,1.09752575366654,0.99117826547006,1.10729400744683,0.268166834390044,NA
"DOCK2",1.25651879235983,2.19707630817451,2.51661921063107,0.873026915988442,0.382648407011969,NA
"TENM2",1.60093022365639,3.21149788270349,2.24483478316027,1.43061659004693,0.152540130124639,NA
"HMMR-AS1",1.16825950317074,-2.35858142132773,2.43412565120694,-0.968964531538562,0.332562886073297,NA
"C1QTNF2",1.06505800168187,-0.995126974785961,2.47722534979575,-0.401710314674444,0.687897232546729,NA
"LOC727947",1.35926148450588,-1.65347769839135,1.88015987215467,-0.879434628341719,0.37916566336625,NA
"LOC124901124",7.06737791635863,0.306620810074043,0.726783582925452,0.421887364103399,0.673107233526516,NA
"PPP1R2B",2.19242469055841,0.5059919181219,1.53580430012364,0.329463798272453,0.74180515269761,NA
"KIF4B",1.19219924020843,-3.12315394354182,2.16239877854385,-1.44430064173683,0.148654425356225,NA
"MIR378H",2.54499406375416,1.56254320962747,1.68177068215756,0.929105987043886,0.352834162036649,NA
"MIR1303",1.11640392981197,-0.800861568870654,2.167325428056,-0.369516067362801,0.711743099249623,NA
"RPLP1P6",2.76342147888132,0.355910254470362,1.28614972869614,0.27672536605141,0.781990992901028,NA
"ATOX1-AS1",2.60666179289284,-0.554949984175185,1.25746930992168,-0.441322885414793,0.658979260486138,NA
"FAT2",1.8507229392415,2.14247184659039,1.98471404823333,1.07948641190779,0.280370947978817,NA
"PDGFRL2P",1.97478520831808,0.0580305288797092,1.69386135947252,0.0342593144091677,0.972670368208095,NA
"ZNF300",1.98027214483429,0.00905321839180353,1.90300712395141,0.00475732238616395,0.996204220235078,NA
"CD74",9.2264530006729,0.108073431243778,0.742714049849966,0.145511494316837,0.884307041185267,NA
"CSF1R",1.31893668934328,4.30954109975656,2.07231367368275,2.07957953203966,0.0375641159645507,NA
"LOC124901207",1.48026660279874,-0.834310245985619,2.39008958804354,-0.349070700177629,0.727036232556031,NA
"MFFP2",1.27090813256861,-2.75915690527668,2.06819938641713,-1.33408651186989,0.1821755057499,NA
"RPL29P14",1.568847347806,0.394551257830987,1.84323096448986,0.21405416110736,0.830504821391777,NA
"AFAP1L1",1.16313953861154,2.06044997568126,2.12270791502153,0.970670510577696,0.331712381261449,NA
"LOC124901185",1.49331288174795,-2.36974928787645,1.85026613858324,-1.28076131236503,0.200277516704589,NA
"SPINK5",3.5890266570075,-0.0134430119050946,1.15887159203084,-0.0116000875312999,0.99074467682446,NA
"STK32A",1.08302852719872,0.0485647218913824,2.51135885850834,0.019338025597914,0.984571449553158,NA
"PPP2R2B",1.08707292395665,-0.0580384271113362,2.35120601763885,-0.0246845349475671,0.980306590646974,NA
"POU4F3",3.32364605087762,-0.514248175666832,1.07661773031287,-0.477651594607667,0.632898202031239,NA
"PLAC8L1",1.06423140939285,-0.0484485300770744,2.88768741697622,-0.016777622741386,0.986614021850716,NA
"KCTD16",1.1344064983722,-1.39134531405804,2.34295251229461,-0.593842729102267,0.55261730706587,NA
"RPL7P21",3.20603916351439,-0.456273161067645,1.21789741148543,-0.374640061440925,0.707928174688918,NA
"LOC124901096",8.77652601116994,-0.125863224541175,0.654744051973796,-0.192232711640139,0.847559923525136,NA
"PCDH12",4.72064796858481,0.358695791231643,1.3670124416379,0.262393947784313,0.793017738235967,NA
"LOC729080",3.73003914709753,1.70740831559356,1.31030417444159,1.3030625627986,0.192553403397839,NA
"LOC124901094",1.95914847522492,1.24857302627201,2.16188576264631,0.57753885420091,0.56357549926825,NA
"ARAP3",8.14313192689485,0.975134165193092,0.6938490746021,1.40539809143984,0.159902933968586,NA
"LOC124901091",2.06963678470492,0.0773921627018507,1.7277523067564,0.0447935519456161,0.964271864737795,NA
"PCDHGA1",1.43611580087524,0.379632310037323,1.8460230707456,0.205648735410437,0.837065305725984,NA
"SLC25A2",2.80744739334218,-2.32491154826983,1.65819952162077,-1.40206984621332,0.160894390447428,NA
"LOC124901088",9.15110307463349,0.089447624357962,0.669771207495429,0.133549521623132,0.893758802398854,NA
"EIF4EBP3",1.46001356658226,3.33905933541049,2.27605583228062,1.46703753398911,0.142365845185338,NA
"LOC124901087",3.04654994340666,-1.45547990752669,1.60837354943963,-0.904938972686903,0.36549771879837,NA
"SLC4A9",2.56566295569546,0.339986245615948,1.63004544240722,0.20857470397504,0.834780259549226,NA
"LOC101929719",1.81123563311304,-1.83272840175973,1.86592275704525,-0.982210220031785,0.325996293698039,NA
"IGIP",7.27960363327172,-1.06565228217878,0.872819145529649,-1.2209313780945,0.22211200277484,NA
"MALINC1",3.43516513161933,0.622914481540634,1.2866455673499,0.48413836517826,0.62828767527295,NA
"NRG2",9.02248817127544,1.14215043955298,0.715472244964325,1.59635883514941,0.110408701227209,NA
"CXXC5-AS1",9.00578040614893,-0.670804560483373,0.82337223720567,-0.814703885037373,0.415241829007044,NA
"SLC23A1",8.15977499079312,-0.90961859926309,0.75626284652512,-1.20278102176064,0.229061070761041,NA
"LOC124901081",4.24957599022666,-0.947782957329501,1.22298543678347,-0.774974851558521,0.438354520014411,NA
"LOC124901080",5.33937782534698,-1.39046373290061,1.059962308271,-1.3118048840517,0.189585976598326,NA
"SNORD63",1.22330964460444,-2.0381192880184,2.2652404438201,-0.899736402631641,0.368260546076174,NA
"SNORD63B",1.51837746795053,1.63403829656872,1.90415389094159,0.85814403149984,0.390812936403602,NA
"LOC100128966",2.4719421997033,-2.59853027903353,1.84265384501567,-1.41021075991158,0.158477459597077,NA
"NME5",4.05526183148044,-0.0110310720723378,1.05789236502666,-0.0104274049393105,0.991680285358126,NA
"FAM13B-AS1",3.68988147623768,-1.20588898925943,1.15966312847783,-1.03986145600945,0.298404272007202,NA
"SPOCK1",6.07968223114467,0.80734905025975,0.860812976115515,0.937891356962317,0.348300245347431,NA
"SLC25A48",5.39030908318365,1.2078480210201,0.9716329633104,1.24311140793835,0.213826782536391,NA
"CXCL14",1.61383201433242,-3.08707535001098,2.29152463545568,-1.34717091941588,0.177925191524286,NA
"MTND6P4",4.27196305566827,0.237518450989547,1.00845174410239,0.23552783004105,0.813799081055776,NA
"MTCYBP18",3.08788596783717,-0.475270625905151,1.66823291329027,-0.28489464637631,0.775724857672682,NA
"LOC124901191",1.55132303326158,1.04063103990304,1.79233438312995,0.580600946842177,0.561509433993888,NA
"LOC124901070",8.55368377052866,-0.710929385854976,0.708746022509123,-1.00308060049229,0.315821973919361,NA
"RN7SL541P",3.40651758357539,0.840117347372816,1.18233336013075,0.710558777839028,0.477357695292832,NA
"TCF7",8.98549315280794,-0.0757297382291217,0.692663918255762,-0.109331143478386,0.912939845723951,NA
"CTB-49A3.2",1.15631944963846,-0.376891706234865,2.39837059833784,-0.157144899331265,0.875130652588919,NA
"LOC107986374",1.10041993002038,3.24730782098315,2.76835157848963,1.1730113495031,0.240791254400203,NA
"LOC124901065",3.57554695029495,0.460979416059666,1.1094964996553,0.415485236954674,0.677786720261655,NA
"LOC124901064",2.35492961595278,-0.398051868448756,1.52016201321571,-0.261848319447693,0.793438384786341,NA
"MIR3936",1.83569829664215,-1.15790358429949,1.45141667165336,-0.797774758216389,0.42500121185052,NA
"MIR3936HG",7.63072396575321,-0.220317068435909,0.946500427871998,-0.232770173100972,0.81593987519828,NA
"LOC105379173",1.76092706251965,-4.76813620752158,2.03232700039697,-2.34614616968146,0.0189686669011921,NA
"LOC107986449",8.04380821713524,-0.0985364238878695,0.663487675016123,-0.148512817341294,0.881938071348169,NA
"CHSY3",1.92200370722948,-0.0412602317559858,1.89647968631474,-0.021756221305045,0.982642416250106,NA
"MINAR2",1.33295640523946,0.0350015376155001,2.66378929699364,0.0131397545800649,0.98951629436283,NA
"LOC102723654",5.36981352293008,-0.858218821674866,0.930103161290375,-0.922713584248245,0.356156484783643,NA
"FBN2",3.44537063136196,-0.711440227120099,1.25506953029965,-0.566853237963829,0.570813896825789,NA
"LOC124901059",1.64192979920537,0.461228495883424,1.70191406953427,0.271005748257101,0.78638661117885,NA
"CCDC192",7.0891023450874,1.50234043669466,0.80673299718666,1.86225237090067,0.0625675256052396,NA
"LOC124901058",1.11823485658602,-1.54573842699319,2.73198339242153,-0.565793493211211,0.571534170250926,NA
"LOC124901057",5.83902081751463,-0.739833105125513,1.20527828507183,-0.613827623287365,0.539329241439365,NA
"MEGF10",1.8504748383599,-2.01440430504284,1.83187199924742,-1.09964250006027,0.271487916800926,NA
"LOC105379198",1.90382170034375,0.51106107104032,1.43262374212249,0.3567308400761,0.721293315510939,NA
"LOC105379163",8.90633506808846,-1.75948770965592,0.717231017774034,-2.45316734225547,0.0141604446122851,NA
"LMNB1-DT",1.40529026484381,-0.931539635969253,1.95221406494628,-0.477170845500944,0.633240469816931,NA
"RPLP1P7",1.64111461983582,-0.331297339330377,1.8783890302911,-0.176373122919608,0.860000818455375,NA
"ZNF608",1.55073384236591,-4.3735437967471,2.02270546808497,-2.1622247360056,0.0306008577820409,NA
"PPIC-AS1",3.25550768343198,-1.1451336056866,1.59251084571359,-0.719074289992338,0.472095147447666,NA
"RN7SL689P",2.9564088817126,-0.676490102921586,1.3701172256212,-0.493746148337686,0.621485469274051,NA
"LOC105379154",8.65331494785656,-0.386896939930787,0.750637447353761,-0.515424511919467,0.606256407409786,NA
"SNCAIP",1.92885674707215,2.61391022341539,1.91396283511942,1.36570584101875,0.172031310270245,NA
"LOC107986444",1.71190862084857,0.283312612481503,1.87960232080642,0.150730082286742,0.880188642105381,NA
"LINC02208",2.38892297980225,0.270580799509025,1.2497464641962,0.216508553743383,0.82859135835537,NA
"LOC124901050",2.93042740188348,-0.0648727115409937,1.46040932875465,-0.0444209101268294,0.964568894227553,NA
"LVRN",3.15848546045789,0.832108780151353,1.6026665735925,0.519202679997324,0.603619410355924,NA
"LOC124901049",1.4418281615519,0.569008432379271,1.76224425480776,0.322888516065183,0.746779673740695,NA
"TICAM2-AS1",2.76841272571626,0.00253948826281098,1.51073272164743,0.0016809646249283,0.998658784910146,NA
"RPS2P26",1.51141140923594,-0.910776112061776,1.81322740534695,-0.502295580452859,0.615459617588585,NA
"KCNN2",9.16940624772862,-0.160381028469571,0.838444336056537,-0.191284050201702,0.848303056464946,NA
"LOC105379123",5.64751393099281,1.51077955407256,0.965912474210386,1.56409570681608,0.117795094054387,NA
"XBP1P1",1.77072456489247,1.86203699329665,1.78787194733743,1.04148230306408,0.297651762341885,NA
"SNORA13",3.59855085900893,-0.342060269996933,1.16107474001613,-0.294606590090988,0.768294427337052,NA
"STARD4-AS1",6.53184927689017,-3.85323626794715,1.35730856463675,-2.83888009575654,0.00452721651370071,NA
"TMEM232",2.64002187263407,0.131805810913699,1.61799946089713,0.0814622094129849,0.935074377478144,NA
"LOC124901041",7.77587522265397,0.703922578475661,0.747789647525747,0.941337688753473,0.346531834565299,NA
"LOC285638",1.7345197751164,-0.890418782351425,1.91900002879615,-0.464001442933804,0.64264671183409,NA
"RPS20P3",1.28736071430744,2.84413029807939,1.96292428418173,1.44892511697924,0.147358495966662,NA
"LOC105379107",1.17708182608929,3.98238104101248,2.20326424951221,1.8074913355918,0.0706857044347373,NA
"SLCO4C1",5.93205631289437,-0.375683256252589,0.969978399197016,-0.387310951010449,0.698526019268194,NA
"LOC105379102",1.13274688079294,-4.12903354989956,2.79261366275043,-1.4785552348236,0.139259224405221,NA
"LOC107986438",1.8666334669803,0.782851468553292,2.21235139057437,0.353854939992172,0.72344759758833,NA
"LOC107986437",7.30994998390108,0.669273329234737,0.84567561486176,0.791406678249959,0.428706714160302,NA
"CTBP2P4",8.41655764418853,0.81403194483118,0.782348227489164,1.04049822857489,0.298108486619953,NA
"KRT8P32",2.27938619793965,-1.60876018835258,1.52432686588642,-1.05539056245463,0.291246737366673,NA
"LIX1-AS1",1.18310409363323,0.0149216296576083,2.08990846461349,0.0071398484241117,0.99430327357672,NA
"ERAP2",3.20647908298147,0.77909145018348,1.1460291662577,0.67981816966104,0.496619600415994,NA
"LOC124901033",1.40232290928467,-0.273813316710649,2.00486304793403,-0.136574574005346,0.891367075151864,NA
"LOC107986363",3.80532981649438,0.028568711385928,1.0866877877843,0.0262897142188173,0.979026258941662,NA
"LOC102724720",3.64537501193241,1.09472485753567,1.25622506862975,0.871440066651243,0.383513916875583,NA
"LOC124901029",1.91151437478149,-1.10535324750648,1.85732211806914,-0.595132764937725,0.551754728670259,NA
"HSPD1P11",5.44073534317792,-1.94350080214528,1.12911713747656,-1.72125702253423,0.0852041945143986,NA
"GPR150",4.64194156957109,0.426498492242961,1.44679818053421,0.294787827342638,0.768155965827279,NA
"MCTP1",7.70148182626651,1.0109581892119,0.785458898201638,1.28709241378073,0.198062079304444,NA
"KIAA0825",6.72300653833257,-1.29829553428211,0.888461243396405,-1.46128550224543,0.143937106823253,NA
"LOC105379087",1.76689555018661,0.610015771554999,2.22145628788681,0.274601744306787,0.783622226074765,NA
"NR2F1",8.21608600070254,1.72730462581968,0.800774011493036,2.15704381139834,0.0310022509686319,NA
"NR2F1-AS1",1.91999406436156,0.693601949027653,1.57260409032215,0.441053125383622,0.659174537279888,NA
"LOC107986434",3.24669724425013,-3.37132147778546,1.83312939988633,-1.8391071999579,0.0658994202326355,NA
"LOC731157",1.38691261883203,1.04727370093063,2.67471528386068,0.391545861815615,0.695393796074074,NA
"MEF2C",1.12062449723364,0.811433828517699,2.07458287141228,0.391131074925588,0.695700352125121,NA
"LOC644285",1.19117194824499,-1.88720633750356,2.27051934634406,-0.831178267889371,0.405872929791903,NA
"LOC124901022",2.106785907202,1.7252401775895,1.49143925675449,1.15676194640591,0.247369632981579,NA
"RPL10AP9",2.227456967627,1.65351190572511,1.39222602520203,1.18767490033464,0.234961516144783,NA
"SNORD138",1.61957286193764,0.934528774059467,1.43189637678118,0.652651120020453,0.513981221284583,NA
"NBPF22P",4.33554504852715,-0.131500847116494,1.09712354669012,-0.11985965255528,0.904594326585942,NA
"LOC105379062",1.42166342422204,-2.3969881861974,2.11831308366088,-1.13155520054425,0.257821483656245,NA
"LOC105379061",1.84110337480323,-0.0576044614213015,1.74002081275289,-0.0331056163231551,0.973590364028187,NA
"LOC105379052",3.76206094720486,2.79227903061347,1.22731182643842,2.27511783921815,0.022898861792022,NA
"ACOT12",1.96900743768883,0.126494134609381,1.53605175668934,0.0823501773677303,0.934368254114825,NA
"CKMT2",4.22192881094065,1.05802293519451,1.05734610695912,1.00064011985378,0.317000826481643,NA
"LOC124901017",1.59362296707975,-2.12723111487931,1.9738940790448,-1.07768250457933,0.281175468747705,NA
"RASGRF2",8.43644365233463,-0.802522865172981,0.754996723656263,-1.06294880497833,0.287805168543506,NA
"LOC107986428",2.42646940723686,-2.03240474228314,2.15389307215711,-0.943595932665171,0.345376171502057,NA
"MTRNR2L2",5.58304601085864,-0.247703761427153,0.882321177930361,-0.28074103583027,0.778909031904309,NA
"THBS4",1.95425263387298,0.308323605298705,1.66200228571656,0.18551334612983,0.852826413252183,NA
"LOC124901014",1.25596151060584,-3.29539585822217,2.33859417409196,-1.40913540909753,0.158795132364057,NA
"RPS3AP20",2.35903959373639,-0.620652568252462,1.55002146990974,-0.400415465399072,0.688850535212195,NA
"DMGDH",2.21140656098236,2.70284223609676,1.86813688893592,1.44681166144965,0.147949679782298,NA
"OTP",4.58966544582425,0.265551070971364,1.07325167677935,0.247426653707395,0.804578048643488,NA
"ALDH7A1P1",1.60795249455894,1.72991445846975,1.89852527672704,0.911188531264668,0.362196045808121,NA
"PDE8B",7.17386538711084,-0.422397840493771,0.86710650482782,-0.487134899971309,0.626162735533461,NA
"LOC124901007",2.17042817249455,-0.0745846549877411,2.17336821491682,-0.0343175419957982,0.972623936618464,NA
"GCNT4",6.16244629342105,-0.735784594467961,0.99058046144421,-0.742781251101227,0.457614128402254,NA
"FAM169A",8.50949531379867,-1.58266732961999,0.812832276743554,-1.94710197282104,0.0515225105487652,NA
"FUNDC2P1",1.38243255243518,-0.674966079802925,1.77318791076014,-0.380651185194228,0.703462095165118,NA
"TMEM171",7.08336634959892,1.69199758513814,0.889399369258631,1.90240475046494,0.0571182604612393,NA
"LOC100420515",1.8383053825763,-0.558009500703551,1.97215351061368,-0.28294425241264,0.777219571486419,NA
"TNPO1-DT",2.97433445969677,0.0449806554772026,1.37705316097814,0.0326644291969472,0.973942190133597,NA
"LOC105379016",1.10096110690788,2.95732900321655,2.75904746974907,1.071865937662,0.283780251470079,NA
"LOC124900992",1.87134221175995,-4.38205219671835,2.1269268708824,-2.06027403043733,0.0393723511350326,NA
"LOC124901203",4.21129234522749,-1.65756463819092,0.997128904195666,-1.66233736803367,0.0964451492811468,NA
"CD180",1.9355136329346,-1.9050569009886,1.82677366237359,-1.04285327746257,0.297016251717684,NA
"MAST4-AS1",10.0461587992025,0.800620818309442,0.675203637932233,1.18574719289323,0.235722151348179,NA
"LOC401191",1.37673732076639,-2.76079092068523,2.02314151109134,-1.36460593861078,0.172376937258179,NA
"LOC124900987",7.17521988281153,-1.0363499749199,0.801687086223273,-1.29271132431747,0.19611091964064,NA
"LOC124900986",6.47132742509845,-0.813416460785936,1.13007318575759,-0.719790957822462,0.471653713039673,NA
"PDE4D",4.42332756719771,-0.0853218862324823,1.09549338600109,-0.0778844375719464,0.937919978822332,NA
"LOC101928505",2.26660787759887,2.8664961770024,1.57916225183712,1.81520054298896,0.0694930962981524,NA
"IL6ST-DT",2.28849837960874,2.16128903113061,1.72405236686509,1.25360985122544,0.209983848799868,NA
"LOC124900977",1.0809807102581,-3.3590610646218,2.71002095955866,-1.23949634144853,0.215161742812105,NA
"LOC124900979",1.74999429685912,-0.580205011713626,1.72847682030594,-0.335674164037057,0.737116590592943,NA
"LOC124900978",5.74278061984502,-1.00695779910722,0.962440222432449,-1.04625490044696,0.295443361649396,NA
"AMD1P3",1.64838713149697,0.262402592375767,1.68275845488768,0.155935982145033,0.876083482569858,NA
"EEF1A1P19",5.467347559848,-0.792144901556056,0.986186921983046,-0.803240119999964,0.421835960589473,NA
"NIM1K",6.80991253192856,0.69864179751209,1.12118112071261,0.623130183522929,0.533198976308888,NA
"LOC124900972",3.22987954034778,-0.460977579824776,1.32580476194858,-0.347696427901845,0.728068179609955,NA
"LOC105374746",8.01256104672837,0.361424795941456,0.755095305689881,0.478647917975396,0.632189123068714,NA
"FLJ32255",2.80624853548581,0.810346700777216,1.38216988327212,0.586285890457125,0.557683411092612,NA
"CARD6",2.59731008404872,0.956017848616972,1.59909314949561,0.597850005747646,0.54994002094813,NA
"SNORD72",1.39917395912302,-1.20899525612078,1.68916218415968,-0.715736634088948,0.47415398568007,NA
"LOC124900968",6.00068834541235,-0.853673042486135,0.849715079322002,-1.00465798861342,0.315061564089196,NA
"DAB2",1.19084981630285,0.605680280704588,2.2078298845818,0.274332857315822,0.783828836223551,NA
"OSMR-DT",3.12686072382577,1.07814038766081,1.11604656164167,0.966035311353765,0.334026511921293,NA
"LIFR",8.23087618758637,-0.471496257835454,1.05023592402721,-0.448943182239916,0.653472644253285,NA
"GDNF",8.87325578103296,0.0886787334022365,0.715853926232849,0.123878252465422,0.901411672316455,NA
"CPLANE1-AS1",3.27468954915092,-1.29903290235637,1.14540970745714,-1.13412073767061,0.256743905952091,NA
"UGT3A2",2.00133063522849,0.119328387159751,1.51883195256014,0.078565892005769,0.93737791788413,NA
"LOC124900961",4.51238952653547,-0.33785388461125,0.950251504502575,-0.355541541381832,0.722183929573328,NA
"TTC23L",9.90068030829822,-0.469120828923493,0.714332272879505,-0.656726353735142,0.5113568858946,NA
